,channel_id,video_titles,verticals,assistant_two_shot,assistant_zero_shot,media_anl_step_by_step,data_sc_step_by_step,data_sc_simple,content_str_step_by_step,reference_prompt,simple,classifier_one_shot,classifier_two_shot,classifier_zero_shot,assistant_one_shot
0,UC09zKqoJ08nQ0Jc1demxxiQ,"['MIJN BEVALLINGSVERHAAL - VONNEKEBONNEKE', 'DE REALITEIT ACHTER ELKE MOEDER - VONNEKEBONNEKE VLOG', 'SNOT ERUIT ZUIGEN & TE VROEG OM TE SPORTEN? - VONNEKEBONNEKE VLOG', 'LUIERS VOOR 5 EURO & MOM-FLUENCER - Vonneke Bonneke Vlog', 'KRAAMTRANEN - VONNEKEBONNEKE VLOG', 'MIJN BEVALLING! - VONNEKEBONNEKE VLOG', 'NOGSTEEDS ZWANGER?  (41 weken) - Vonneke Bonneke Vlog', 'DE LAATSTE IMPULSIEVE AANKOPEN VOOR DE BEVALLING! (39 wkn🤰🏽) - VONNEKEBONNEKE VLOG', 'Mijn vriend is ZWANGER 😂🫃🏻 #shorts']",Entertainment,Family,Family,Family,Family,Family,Family,Family,Family,Family,Family,Family,Family
1,UCiaZSRydY8beFPD886fS0rw,"['realistische Morgenroutine auf 12 qm | Tiny Home', 'Ich zeige meinem Hund Dinge, die er noch nie gesehen hat #hund #haustier #hundeliebe #wohnmobil', 'Bringt Wasser sparen überhaupt was? Wasser- Spar- Challenge Extrem', 'Nachhaltig leben im Wohnmobil #nachhaltigkeit #lebenimwohnmobil', 'Leben in der Dieselschleuder - sind wir Klimasünder?', 'Minimalismus hat mein Leben verändert', '“Ich kann nicht mehr schalten.” 🥴🛠️ #vanlife', 'Regional einkaufen & Plastiktüten vermeiden - WENIGER nachhaltig, als viele denken', 'Endlich effektiv ausmisten - 6  Minimalismus Challenges und Ausmist-Hacks']",Health & Fitness,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies
2,UC01yfEkBiExZlVOAfD8mnhg,"['Meine Höhenvorbereitung für den Himalaya', 'Ich bin zurück!', 'Als Mann beim Pole Dance - Training an der Stange', 'Auf Wiedersehen Omar', 'Der ekligste Proteinshake der Welt', ""Ohne deine Hilfe geht's nicht!"", 'Total Peinlich! Reaktion auf ALTES Fitnessvideo', 'Mein Abenteuer im Paradies - Sansibar entdecken', 'Meine besten Tipps um günstige Flüge zu finden']",Health & Fitness,Lifestyle & Hobbies,Sports Editorial Content,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies
3,UC4cJPXuqa-qGcDZ1sVpWAmw,"['Samsung Galaxy S9 and S9+ | Vídeo Oficial (Subtitulado)', 'Como Aumentar la Velocidad de mi PC Windows', 'Sorteo Internacional 2017 Cerrado', 'Pruebas de mejora de audio', 'El Peor y Mejor producto tecnológico que hemos probado', 'Los mejores Celulares del 2017', 'Cómo quitar la contraseña de Windows 8 ✔', 'Proyecto Byte | Especial 5 años | 60 Mil Suscriptores', 'Mira este vídeo y tendrás una oportunidad unica ☺']",Education & Science,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech
4,UCOGhBBuD_FPCdS4OFew7DwA,"['Os Soldados Do Kim Jong Un... Como O Exército Da Coréia Do Norte Treina Seus Soldados', 'As 12 Prisões Mais Duras Do Mundo', 'Cristiano Ronaldo Jr  Continua Tão forte?', '10 Últimas Fotos De Pessoas Que Nunca Voltámos A Ver', '10 Coisas Estranhas Que As Pessoas Encontraram Em Sua Casa', '10 Terríveis Segredos Que Você Não Conhecia Sobre Cristiano Ronaldoo', 'Momento Perfeito... Momentos Inesperados Filmados Em Câmera', 'Este Jogador De Futebol Diz Que Tem Só 18 Anos De Idade', 'Este Drone Filmou O Que Ninguém Deveria Ter Visto']",News,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
5,UC6C5rLe-voNUT2bqsvbkrYQ,"['Smarty Bubbles X-MAS Edition - Highscore Challenge', 'Water Sort Puzzle - alle 50 Level!', 'Moto X3M 6 Spooky Land - alle Level 3 Sterne!', 'Adam und Eva: GO 3 - Alle Level', 'Ende des Flash Players 2021', 'Spiel auf Handy und Tablet - SpielAffe Trailer', 'Parkspiele - Trailer und Spieletipps | SpielAffe.de', 'Weihnachtspiele - Trailer und Spieletipps | SpielAffe.de', 'Koch- und Backspiele  - Trailer und Spieletipps | SpielAffe.de']",Corporate Channels,Gaming,Category: Kids Content,Gaming,Kids Content,Gaming,Gaming,Gaming,Kids Content,Gaming,Gaming,Gaming,Kids Content
6,UCKI91MuLfEw8H9MUEnMirwQ,"[""L'IMMAGINE CHE HAI IN MENTE FATTA CON L'INTELLIGENZA ARTIFICIALE!"", 'IL CAPO DI SUPERCELL STA SVILUPPANDO 5 GIOCHI! SORPRESE IN ARRIVO?', 'UNA SCOPERTA su CLASH HEROES?! Clash Heroes vs Squad Busters!', 'SQUAD BUSTERS QUANDO ESCE?', 'Squad Busters: MA SERIAMENTE?! QUESTA TRUPPA HA UNO SVILUPPO ROTTO!', 'SQUAD BUSTERS - HO FATTO BENE A DIRLO A SUPERCELL?', ""HO TROVATO L'EASTER EGG su Squad Busters e COME SALIRE SUPER VELOCI sbloccando i Mondi"", 'SQUAD BUSTERS IN ANTEPRIMA! 6 COSE DA SAPERE SUL GIOCO Supercell', 'Squad Busters PRIMA DI INSTALLARLO CONTROLLATE!']",Tech,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming
7,UCa7tPSfhoLhWs87nCDl639g,"['Hypevideo VfL SparkassenStars Bochum 2021/22', 'Jordan Jersey Massoud', 'LeBron Jersey Preview', 'IHK Tiemeyer Final', 'IHK TIEMEYER PREVIEW', 'Vorstellungsvideo DA(ILY)ZN Johannes Meinow und Sebastian Meichsner', 'AZUBIS DIE JEDER KENNT Preview', 'PAC Preview FINAL', 'CLARK Preview']",Corporate Channels,Category: Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Entertainment,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Entertainment,Sports Editorial Content,Sports Editorial Content
8,UCHr_aw2Klj_YE6fTv4YypBQ,"['🍀💫AAA il secondo episodio di #festaforesta e’ on line! Chi e’ Giorgia Meloni? #podcast', 'Ep.2 Giorgia Meloni, Balenciaga, Pippo Franco Scomparso! - Festa Foresta Podcast', '🍀AAA Annuncio!! 🍀”FESTA FORESTA” e’ il nostro nuovo #podcast !!', 'Ep.1. Kate Middleton, Chiara Ferragni, Fedez & Fiorello - Festa Foresta Podcast', '🎙️Dubbi Non Ho - Pino Daniele #cover #pinodaniele #dubbinonho #livemusic', '🎙️The Kolors - ITALODISCO 🇮🇹🕺🏻💿LA PROSSIMA?? Comenta!👇🏼 #cover #italodisco #thekolors', 'PINO DANIELE ~ JE SO PAZZ #cover #pinodaniele #jesoppaz', 'Angelina Mango - Ci Pensiamo Domani (Acoustic Cover)', ""Pino Daniele - Je so' pazzo (Acoustic Cover)""]",Lifestyle & Hobbies,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
9,UC4_QEb642mYkDlcKF3BFpvQ,"['100"" di VERTICALE AD 1 BRACCIO in 30 min. LA HUNDRED CHALLENGE', 'RISFIDO IL CAMPIONE NAZIONALE DI BRACCIO DI FERRO DIEGO MICHELANGELETTI.', 'I giovani di oggi sono molto testardi quanto agguerriti 💪🏼😄', ""COM'ERA IL CALISTHENICS NEL 2013 ? LA MIA ESPERIENZA"", 'QUANTO È FORTE UNO STRONGMAN DI 154KG A BRACCIO DI FERRO? ANDREA INVERNIZZI.', 'LO STRONGMAN PIÙ FORTE IN ITALIA PROVA 101 KG DI BICEPS CURL.', 'VI PRESENTO ARM BOXING, UN NUOVO SPORT STRAVAGANTE DA COMBATTIMENTO 🥊', 'QUANTO È FORTE UN POWERLIFTER DI 124kg A BRACCIO DI FERRO? @IssaChikhou', ""RITESTO DOPO 1 ANNO L' ATLETA PIÙ FORTE AL MONDO 🌎  @ermesgasparini3239""]",Health & Fitness,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content
10,UCtnmHPgmcQOxJKj1ZG4rmLw,"['Poniendo a parir', 'Para Bortz', 'EL MEJOR PERSONAJE DE NINTENDO', 'LA NEGRA EN BLOODBORNE', 'THE WITCHER III ¿JUEGO DEL AÑO?', 'LOS PREMIOS A LOS JUEGOS DEL AÑO / 2015', 'STAR WARS BATTLEFRONT / HORA DEL RETRASO', 'PONIENDO A PARIR FALLOUT 4', 'EL FUTURO DEL CANAL Y PATREON']",Entertainment,Category: Entertainment,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming,Gaming
