index,Language,lang,match
2,de,de,True
3,de,de,True
4,de,de,True
5,de,de,True
6,de,de,True
7,de,de,True
8,de,de,True
9,de,de,True
10,de,de,True
11,de,de,True
12,de,de,True
13,de,de,True
14,de,de,True
15,de,de,True
16,de,de,True
17,de,de,True
18,de,de,True
19,de,de,True
20,de,de,True
21,de,de,True
22,de,de,True
23,de,de,True
24,de,de,True
25,de,de,True
26,de,de,True
27,nl,nl,True
28,de,de,True
29,de,de,True
30,de,de,True
31,de,de,True
32,de,de,True
33,de,de,True
34,de,de,True
35,de,de,True
36,de,de,True
37,de,de,True
38,de,de,True
39,de,de,True
40,hu,hu,True
41,hu,hu,True
42,hu,hu,True
43,hu,hu,True
44,hu,hu,True
45,hu,hu,True
46,de,de,True
47,de,de,True
48,de,de,True
49,de,de,True
50,nl,nl,True
51,cs,cs,True
52,cs,cs,True
53,de,de,True
54,cs,cs,True
55,cs,cs,True
56,nl,nl,True
57,sk,sk,True
58,sk,sk,True
59,sk,sk,True
60,nl,nl,True
61,nl,nl,True
62,cs,cs,True
63,de,de,True
64,cs,cs,True
65,cs,cs,True
66,cs,cs,True
67,cs,cs,True
68,cs,cs,True
69,cs,cs,True
70,cs,cs,True
71,nl,nl,True
72,cs,cs,True
73,cs,cs,True
74,cs,cs,True
75,cs,cs,True
76,cs,cs,True
77,cs,cs,True
78,cs,cs,True
79,de,de,True
80,nl,nl,True
81,it,it,True
82,es,es,True
83,cs,cs,True
84,cs,cs,True
85,cs,cs,True
86,cs,cs,True
87,cs,cs,True
88,cs,cs,True
89,cs,cs,True
90,cs,cs,True
91,cs,cs,True
92,cs,cs,True
93,cs,cs,True
94,cs,cs,True
95,nl,nl,True
96,nl,nl,True
97,de,de,True
98,cs,cs,True
99,cs,cs,True
100,cs,cs,True
101,fr,fr,True
102,de,de,True
103,sk,sk,True
104,cs,cs,True
105,nl,nl,True
106,cs,cs,True
107,cs,cs,True
108,cs,cs,True
109,de,de,True
110,de,de,True
111,de,de,True
112,cs,cs,True
113,sk,sk,True
114,sk,sk,True
115,sk,sk,True
116,sk,sk,True
117,cs,cs,True
118,sk,sk,True
119,sk,sk,True
120,sk,sk,True
121,sk,cs,False
122,cs,cs,True
123,cs,cs,True
124,cs,cs,True
125,cs,cs,True
126,cs,cs,True
127,fr,fr,True
128,fr,fr,True
129,nl,nl,True
130,cs,cs,True
131,sk,cs,False
132,de,de,True
133,de,de,True
134,cs,cs,True
135,cs,cs,True
136,cs,cs,True
137,nl,sk,False
138,sk,sk,True
139,sk,sk,True
140,sk,sk,True
141,sk,sk,True
142,de,de,True
143,de,de,True
144,de,de,True
145,nl,nl,True
146,en,en,True
147,fr,fr,True
148,de,de,True
149,de,de,True
150,de,de,True
151,de,de,True
152,cs,cs,True
153,cs,cs,True
154,nl,nl,True
155,sk,sk,True
156,cs,cs,True
157,sk,sk,True
158,fr,fr,True
159,sk,sk,True
160,sk,sk,True
161,cs,cs,True
162,sk,sk,True
163,nl,nl,True
164,nl,nl,True
165,nl,nl,True
166,cs,cs,True
167,sk,sk,True
168,cs,sk,False
169,cs,cs,True
170,sk,sk,True
171,nl,nl,True
172,en,en,True
173,nl,nl,True
174,nl,nl,True
175,nl,nl,True
176,de,de,True
177,de,de,True
178,de,de,True
179,sk,sk,True
180,nl,en,False
181,sk,sk,True
182,sk,sk,True
183,sk,sk,True
184,sk,sk,True
185,sk,sk,True
186,sk,sk,True
187,sk,sk,True
188,sk,sk,True
189,sk,sk,True
190,nl,nl,True
191,nl,nl,True
192,nl,nl,True
193,nl,nl,True
194,sk,sk,True
195,sk,sk,True
196,nl,en,False
197,nl,nl,True
198,nl,nl,True
199,nl,nl,True
200,sk,sk,True
201,sk,sk,True
202,sk,sk,True
203,sk,sk,True
204,sk,sk,True
205,en,en,True
206,nl,nl,True
207,nl,nl,True
208,sk,sk,True
209,sk,sk,True
210,sk,sk,True
211,sk,sk,True
212,sk,sk,True
213,cs,nl,False
214,nl,nl,True
215,nl,sk,False
216,cs,nl,False
217,nl,cs,False
218,nl,nl,True
219,cs,cs,True
220,cs,cs,True
221,cs,cs,True
222,cs,cs,True
223,nl,nl,True
224,cs,sk,False
225,cs,cs,True
226,sk,sk,True
227,cs,sk,False
228,en,en,True
229,cs,cs,True
230,de,de,True
231,cs,de,False
232,en,cs,False
233,sk,en,False
234,de,de,True
235,cs,cs,True
236,nl,nl,True
237,nl,nl,True
238,nl,en,False
239,nl,nl,True
240,nl,nl,True
241,en,en,True
242,en,en,True
243,de,de,True
244,de,de,True
245,de,de,True
246,de,de,True
247,es,es,True
248,de,de,True
249,de,de,True
250,de,,False
251,de,,False
