"video_title","channel_id","published_at","description","ranking"
KNABE MALZ | Ab jetzt erhältlich!,UC9YTp5M6yYgSd6t0SeL2GQw,2024-03-13 17:00:05.000,"🛍️ Hier bestellen ➡️ https://www.knabemalz.de
🎶 Erst knackt's, dann knallt's: Knabe Malz 🎶

https://www.instagram.com/knabe_malz
https://twitter.com/KnabeMalz
https://www.tiktok.com/@knabe.malz

*Rechtlicher Hinweis: Knabe Malz ist weder wirklich familiäres Traditionshandwerk, noch produziert in Spandau, schmeckt aber trotzdem – versprochen.

WERBUNG
HandOfBlood PCs: https://www.boostboxx.com/hand-of-blood.html

►Zweitkanal: https://www.youtube.com/@handofuncut
►HandOfTrash: https://bit.ly/3uxLIMZ
►Best of Kanal: http://bit.ly/2MKdbom
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Jetzt Kanalmitglied werden:
https://www.youtube.com/channel/UC9YTp5M6yYgSd6t0SeL2GQw/join
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Livestream: http://www.twitch.tv/handiofiblood
►Discord: https://discord.gg/fuwz5F6
►Twitter: https://twitter.com/HandOfBlood
►Instagram: http://instagram.com/handiofiblood
►Facebook: https://www.facebook.com/HandIOfIBlood
►TikTok https://www.tiktok.com/@handofblood
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG: Richtig geile Tische gibt es hier:
Ergotopia: https://bit.ly/3kmw4B4
Desktopia Pro X: https://bit.ly/3kkTkzj
Desktopia GG: https://bit.ly/3GPQzO7 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
*Mein Equipment zusammengestellt:
https://www.amazon.de/shop/handofblood

*Mein Equipment für Drehs:
►Kamera: https://amzn.to/3X9a7U3
►Objektiv: https://amzn.to/3GGYBtL
►Mikrofon: https://amzn.to/3ZfgE1k
►Ansteck-Mikrofon: https://amzn.to/3WSGZRt
►Tongerät: https://amzn.to/3XbT6c4
►Angel: https://amzn.to/3VSuEvh
►Licht: https://amzn.to/3IueuoQ
►Kleines Licht: https://amzn.to/3ichtaQ
►Greenscreen: https://amzn.to/3imocin

*Mein Equipment für Gameplay:
►Kamera: https://amzn.to/3ZejuUv
►Objektiv: https://amzn.to/3ifUxaG
►Monitor zum Zocken: https://amzn.to/3WSC56P
►Monitor für OBS: https://amzn.to/3GL3an1
►Mikrofon: https://amzn.to/3VRimmR
►Mikrofon Arm: https://amzn.to/3WNdOiy
►Mikrofonverstärker: https://amzn.to/3IuOidM
►Mikrofonvorverstärker: https://amzn.to/3VOIgaL
►Greenscreen: https://amzn.to/3imocin

*Wenn ihr über die hier angegebenen Tracking-Links einkauft, profitiere ich davon. Ehre.",1
Der Schmerz ist zurück | 3 schäbige Spiele,UC9YTp5M6yYgSd6t0SeL2GQw,2024-02-29 16:00:31.000,"WERBUNG: Macht eure Steuererklärung entspannt mit Taxfix: https://bit.ly/handofbloodtaxfix 
Code: HÄNNO (5€ für Neukunden, einlösbar für beide Produkte „Ich Selbst“ & „Expertenservice“

3 schäbige Spiele ist endlich zurück. Hänno quält sich nun gemeinsam mit seinem Twitch Chat durch die schäbigsten Spiele auf Steam durch und packt seine Spiele in einen echten Einkaufswagen. Seid gespannt, was Steam dieses Mal so an schlechte Games zu bieten hat.

3 schäbige Spiele Playlist: https://www.youtube.com/playlist?list=PLlakm8Sa1vtNIoohjZ2ovFpKOQEkn1svh

WERBUNG
HandOfBlood PCs: https://www.boostboxx.com/hand-of-blood.html

►Zweitkanal: https://www.youtube.com/@handofuncut
►HandOfTrash: https://bit.ly/3uxLIMZ
►Best of Kanal: http://bit.ly/2MKdbom
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Jetzt Kanalmitglied werden:
https://www.youtube.com/channel/UC9YTp5M6yYgSd6t0SeL2GQw/join
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Livestream: http://www.twitch.tv/handiofiblood
►Discord: https://discord.gg/fuwz5F6
►Twitter: https://twitter.com/HandOfBlood
►Instagram: http://instagram.com/handiofiblood
►Facebook: https://www.facebook.com/HandIOfIBlood
►TikTok https://www.tiktok.com/@handofblood
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG: Richtig geile Tische gibt es hier:
Ergotopia: https://bit.ly/3kmw4B4
Desktopia Pro X: https://bit.ly/3kkTkzj
Desktopia GG: https://bit.ly/3GPQzO7 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
*Mein Equipment zusammengestellt:
https://www.amazon.de/shop/handofblood

*Mein Equipment für Drehs:
►Kamera: https://amzn.to/3X9a7U3
►Objektiv: https://amzn.to/3GGYBtL
►Mikrofon: https://amzn.to/3ZfgE1k
►Ansteck-Mikrofon: https://amzn.to/3WSGZRt
►Tongerät: https://amzn.to/3XbT6c4
►Angel: https://amzn.to/3VSuEvh
►Licht: https://amzn.to/3IueuoQ
►Kleines Licht: https://amzn.to/3ichtaQ
►Greenscreen: https://amzn.to/3imocin

*Mein Equipment für Gameplay:
►Kamera: https://amzn.to/3ZejuUv
►Objektiv: https://amzn.to/3ifUxaG
►Monitor zum Zocken: https://amzn.to/3WSC56P
►Monitor für OBS: https://amzn.to/3GL3an1
►Mikrofon: https://amzn.to/3VRimmR
►Mikrofon Arm: https://amzn.to/3WNdOiy
►Mikrofonverstärker: https://amzn.to/3IuOidM
►Mikrofonvorverstärker: https://amzn.to/3VOIgaL
►Greenscreen: https://amzn.to/3imocin

*Wenn ihr über die hier angegebenen Tracking-Links einkauft, profitiere ich davon. Ehre.",2
Der Gamertausch feat. @papaplatte,UC9YTp5M6yYgSd6t0SeL2GQw,2024-02-11 16:00:08.000,"Bei Kevin Westphal und Daniel ""Broeki"" Broekmann hängt der Base-Segen gewaltig schief. Mit einer außergewöhnlichen Therapiemethode und zwei sehr außergewöhnlichen Gegenspielern versucht High-Elo-Berater Sparkassen-Hänno, ihr Verhältnis wieder ins Reine zu bringen. Wird ihm der Carry erneut gelingen?!

WERBUNG: Vielen Dank an die Sparkasse, die dieses Projekt möglich gemacht hat und mit uns umgesetzt hat.
https://www.sparkasse.de/lp/e-sport.html
https://www.instagram.com/sparkasse/

Vielen Dank an @papaplatte, @Filow, @Broeki und Kevin Westphal. 
Sprecher: @martifischer 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG
HandOfBlood PCs: https://www.boostboxx.com/hand-of-blood.html
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Zweitkanal: https://www.youtube.com/@handofuncut
►HandOfTrash: https://bit.ly/3uxLIMZ
►Best of Kanal: http://bit.ly/2MKdbom
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Jetzt Kanalmitglied werden:
https://www.youtube.com/channel/UC9YTp5M6yYgSd6t0SeL2GQw/join
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Livestream: http://www.twitch.tv/handiofiblood
►Discord: https://discord.gg/fuwz5F6
►Twitter: https://twitter.com/HandOfBlood
►Instagram: http://instagram.com/handiofiblood
►Facebook: https://www.facebook.com/HandIOfIBlood
►TikTok https://www.tiktok.com/@handofblood
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG: Richtig geile Tische gibt es hier:
Ergotopia: https://bit.ly/3kmw4B4
Desktopia Pro X: https://bit.ly/3kkTkzj
Desktopia GG: https://bit.ly/3GPQzO7 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
*Mein Equipment zusammengestellt:
https://www.amazon.de/shop/handofblood

*Mein Equipment für Drehs:
►Kamera: https://amzn.to/3X9a7U3
►Objektiv: https://amzn.to/3GGYBtL
►Mikrofon: https://amzn.to/3ZfgE1k
►Ansteck-Mikrofon: https://amzn.to/3WSGZRt
►Tongerät: https://amzn.to/3XbT6c4
►Angel: https://amzn.to/3VSuEvh
►Licht: https://amzn.to/3IueuoQ
►Kleines Licht: https://amzn.to/3ichtaQ
►Greenscreen: https://amzn.to/3imocin

*Mein Equipment für Gameplay:
►Kamera: https://amzn.to/3ZejuUv
►Objektiv: https://amzn.to/3ifUxaG
►Monitor zum Zocken: https://amzn.to/3WSC56P
►Monitor für OBS: https://amzn.to/3GL3an1
►Mikrofon: https://amzn.to/3VRimmR
►Mikrofon Arm: https://amzn.to/3WNdOiy
►Mikrofonverstärker: https://amzn.to/3IuOidM
►Mikrofonvorverstärker: https://amzn.to/3VOIgaL
►Greenscreen: https://amzn.to/3imocin

*Wenn ihr über die hier angegebenen Tracking-Links einkauft, profitiere ich davon. Ehre.",3
Ihr habt mein Leben verändert!,UC9YTp5M6yYgSd6t0SeL2GQw,2024-01-29 17:00:06.000,"Danke für alles! 
Ich würde mich freuen, wenn ihr mal auf Twitch vorbeischauen würdet: https://www.twitch.tv/handiofiblood

Hier die 3 Videos, von denen ich spreche:
Schluss Damit: https://www.youtube.com/watch?v=Jm_z1P4HDD0
Eintracht Spandau Fußball: https://www.youtube.com/watch?v=6FzkUoq2MjM
Dark Souls 3 Statement: https://www.youtube.com/watch?v=87Q5rpUPYyo",4
Hänno ist zurück mit Dropkick,UC9YTp5M6yYgSd6t0SeL2GQw,2024-01-17 18:14:51.000,schaut auf twitch vorbei: https://www.twitch.tv/handiofiblood,5
"Schluss Damit: Schluss Damit, Schluss Damit!",UC9YTp5M6yYgSd6t0SeL2GQw,2024-01-16 16:30:06.000,"LIVE ab morgen 16 Uhr, 17.01.2024
https://www.twitch.tv/handiofiblood",6
Schnelles Update von eurem Hänno,UC9YTp5M6yYgSd6t0SeL2GQw,2024-01-15 12:00:58.000,"15.01.: Draft -  https://twitch.tv/ballerleague  
22.01.: 1. Spieltag -  https://twitch.tv/handiofiblood

Sonderpressekonferenz: https://www.youtube.com/watch?v=ydGkTxzLDe4&t",7
LEGO Fortnite in cursed,UC9YTp5M6yYgSd6t0SeL2GQw,2024-01-13 16:00:25.000,"#werbung Zockt auch selber in LEGO Fortnite rein und erkundet riesige offene Welten! Einfach über diesen Link: https://www.fortnite.com/download #fortnite 

Absoluter Fiebertraum: Als LEGO-Männchen habe ich in das neue LEGO Fortnite reingeschaut. LEGO Fortnite Ist ein neues Survival-Game in dem die Baumechanike aus LEGO und Fortnite zusammen treffen. Zusammen mit @Sterzik ging es dabei richtig zur Sache xD

WERBUNG
HandOfBlood PCs: https://www.boostboxx.com/hand-of-blood.html

►Zweitkanal: https://www.youtube.com/@handofuncut
►HandOfTrash: https://bit.ly/3uxLIMZ
►Best of Kanal: http://bit.ly/2MKdbom
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Jetzt Kanalmitglied werden:
https://www.youtube.com/channel/UC9YTp5M6yYgSd6t0SeL2GQw/join
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
LEGO Fortnite spielen: https://www.fortnite.com/download

Erkunde riesige offene Welten, in denen die Magie des Bauens von LEGO® und Fortnite aufeinandertreffen. In Fortnite findest du das ultimative LEGO-Abenteuer, in dem sich alles ums Überleben und Crafting dreht!
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Livestream: http://www.twitch.tv/handiofiblood
►Discord: https://discord.gg/fuwz5F6
►Twitter: https://twitter.com/HandOfBlood
►Instagram: http://instagram.com/handiofiblood
►Facebook: https://www.facebook.com/HandIOfIBlood
►TikTok https://www.tiktok.com/@handofblood
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG: Richtig geile Tische gibt es hier:
Ergotopia: https://bit.ly/3kmw4B4
Desktopia Pro X: https://bit.ly/3kkTkzj
Desktopia GG: https://bit.ly/3GPQzO7 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
*Mein Equipment zusammengestellt:
https://www.amazon.de/shop/handofblood

*Mein Equipment für Drehs:
►Kamera: https://amzn.to/3X9a7U3
►Objektiv: https://amzn.to/3GGYBtL
►Mikrofon: https://amzn.to/3ZfgE1k
►Ansteck-Mikrofon: https://amzn.to/3WSGZRt
►Tongerät: https://amzn.to/3XbT6c4
►Angel: https://amzn.to/3VSuEvh
►Licht: https://amzn.to/3IueuoQ
►Kleines Licht: https://amzn.to/3ichtaQ
►Greenscreen: https://amzn.to/3imocin

*Mein Equipment für Gameplay:
►Kamera: https://amzn.to/3ZejuUv
►Objektiv: https://amzn.to/3ifUxaG
►Monitor zum Zocken: https://amzn.to/3WSC56P
►Monitor für OBS: https://amzn.to/3GL3an1
►Mikrofon: https://amzn.to/3VRimmR
►Mikrofon Arm: https://amzn.to/3WNdOiy
►Mikrofonverstärker: https://amzn.to/3IuOidM
►Mikrofonvorverstärker: https://amzn.to/3VOIgaL
►Greenscreen: https://amzn.to/3imocin

*Wenn ihr über die hier angegebenen Tracking-Links einkauft, profitiere ich davon. Ehre.",8
Die unfähigste SWAT-Einheit der Welt,UC9YTp5M6yYgSd6t0SeL2GQw,2024-01-07 19:00:08.000,"WERBUNG: spielt jetzt Ready or Not: https://store.steampowered.com/app/1144200/Ready_or_Not/?utm_source=paidcreators&utm_medium=promotion&utm_campaign=1_0-release&utm_content=buynow&utm_term=handofblood

Zusammen mit @MaximMarkow , @Sterzik & @KalleKoschinsky haben wir wohl das chaotischte Sondereinsatzkommando abgebildet. 

WERBUNG
HandOfBlood PCs: https://www.boostboxx.com/hand-of-blood.html

►Zweitkanal: https://www.youtube.com/@handofuncut
►HandOfTrash: https://bit.ly/3uxLIMZ
►Best of Kanal: http://bit.ly/2MKdbom
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Jetzt Kanalmitglied werden:
https://www.youtube.com/channel/UC9YTp5M6yYgSd6t0SeL2GQw/join
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Ready or Not spielen: https://store.steampowered.com/app/1144200/Ready_or_Not/?utm_source=paidcreators&utm_medium=promotion&utm_campaign=1_0-release&utm_content=buynow&utm_term=handofblood

Los Sueños. Das LSPD verzeichnet einen massiven Anstieg an Gewaltverbrechen im Großraum Los Sueños. SWAT-Teams wurden entsandt, um verschiedene Hochrisikoszenarien zu entschärfen, darunter Geiselnahmen und Bombendrohungen.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Livestream: http://www.twitch.tv/handiofiblood
►Discord: https://discord.gg/fuwz5F6
►Twitter: https://twitter.com/HandOfBlood
►Instagram: http://instagram.com/handiofiblood
►Facebook: https://www.facebook.com/HandIOfIBlood
►TikTok https://www.tiktok.com/@handofblood
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG: Richtig geile Tische gibt es hier:
Ergotopia: https://bit.ly/3kmw4B4
Desktopia Pro X: https://bit.ly/3kkTkzj
Desktopia GG: https://bit.ly/3GPQzO7 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
*Mein Equipment zusammengestellt:
https://www.amazon.de/shop/handofblood

*Mein Equipment für Drehs:
►Kamera: https://amzn.to/3X9a7U3
►Objektiv: https://amzn.to/3GGYBtL
►Mikrofon: https://amzn.to/3ZfgE1k
►Ansteck-Mikrofon: https://amzn.to/3WSGZRt
►Tongerät: https://amzn.to/3XbT6c4
►Angel: https://amzn.to/3VSuEvh
►Licht: https://amzn.to/3IueuoQ
►Kleines Licht: https://amzn.to/3ichtaQ
►Greenscreen: https://amzn.to/3imocin

*Mein Equipment für Gameplay:
►Kamera: https://amzn.to/3ZejuUv
►Objektiv: https://amzn.to/3ifUxaG
►Monitor zum Zocken: https://amzn.to/3WSC56P
►Monitor für OBS: https://amzn.to/3GL3an1
►Mikrofon: https://amzn.to/3VRimmR
►Mikrofon Arm: https://amzn.to/3WNdOiy
►Mikrofonverstärker: https://amzn.to/3IuOidM
►Mikrofonvorverstärker: https://amzn.to/3VOIgaL
►Greenscreen: https://amzn.to/3imocin

*Wenn ihr über die hier angegebenen Tracking-Links einkauft, profitiere ich davon. Ehre.",9
Ein absoluter Albtraum | 3 schäbige Horrorspiele,UC9YTp5M6yYgSd6t0SeL2GQw,2023-12-10 16:00:05.000,"Schlimmer wird es nicht... Wir gehen in eine neue Ausgabe ""3 schäbige Spiele"" - dieses Mal in der Horrorspiele-Edition.

Hier kommt ihr zu meiner eigenen Klamottenmarke ""Corrupted Blood"":
https://corruptedblood.de/
Instagram: @corruptedblood.clo
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
3 schäbige Spiele-Playlist: https://youtube.com/playlist?list=PLlakm8Sa1vtNIoohjZ2ovFpKOQEkn1svh&si=ioHntx24Vn2swdtE

WERBUNG
HandOfBlood PCs: https://www.boostboxx.com/hand-of-blood.html

►Zweitkanal: https://www.youtube.com/@handofuncut
►HandOfTrash: https://bit.ly/3uxLIMZ
►Best of Kanal: http://bit.ly/2MKdbom
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Jetzt Kanalmitglied werden:
https://www.youtube.com/channel/UC9YTp5M6yYgSd6t0SeL2GQw/join
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
►Livestream: http://www.twitch.tv/handiofiblood
►Discord: https://discord.gg/fuwz5F6
►Twitter: https://twitter.com/HandOfBlood
►Instagram: http://instagram.com/handiofiblood
►Facebook: https://www.facebook.com/HandIOfIBlood
►TikTok https://www.tiktok.com/@handofblood
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
WERBUNG: Richtig geile Tische gibt es hier:
Ergotopia: https://bit.ly/3kmw4B4
Desktopia Pro X: https://bit.ly/3kkTkzj
Desktopia GG: https://bit.ly/3GPQzO7 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
*Mein Equipment zusammengestellt:
https://www.amazon.de/shop/handofblood

*Mein Equipment für Drehs:
►Kamera: https://amzn.to/3X9a7U3
►Objektiv: https://amzn.to/3GGYBtL
►Mikrofon: https://amzn.to/3ZfgE1k
►Ansteck-Mikrofon: https://amzn.to/3WSGZRt
►Tongerät: https://amzn.to/3XbT6c4
►Angel: https://amzn.to/3VSuEvh
►Licht: https://amzn.to/3IueuoQ
►Kleines Licht: https://amzn.to/3ichtaQ
►Greenscreen: https://amzn.to/3imocin

*Mein Equipment für Gameplay:
►Kamera: https://amzn.to/3ZejuUv
►Objektiv: https://amzn.to/3ifUxaG
►Monitor zum Zocken: https://amzn.to/3WSC56P
►Monitor für OBS: https://amzn.to/3GL3an1
►Mikrofon: https://amzn.to/3VRimmR
►Mikrofon Arm: https://amzn.to/3WNdOiy
►Mikrofonverstärker: https://amzn.to/3IuOidM
►Mikrofonvorverstärker: https://amzn.to/3VOIgaL
►Greenscreen: https://amzn.to/3imocin

*Wenn ihr über die hier angegebenen Tracking-Links einkauft, profitiere ich davon. Ehre.",10
