,channel_id,vertical,predicted_vertical
0,UC01yfEkBiExZlVOAfD8mnhg,Health & Fitness,"Lifestyle & Hobbies, 90"
10,UC05MAvDqxBey5YuagowePCw,Entertainment,"Entertainment, 95"
20,UC09zKqoJ08nQ0Jc1demxxiQ,Entertainment,"Family, 95"
30,UC0m0VPPo84UHJ4m7rGl7RwQ,Auto & Vehicles,"Auto & Vehicles, 98"
40,UC1bXG2l9YmiyzlaXI0i0pqw,Kids Content,"Entertainment, 95"
50,UC1jOeuYb9OFGDhBAZPkAopA,Tech,"Education & Science, 95"
60,UC2E2tvdecC_C--97tZiN7PQ,Kids Content,"Kids Content, 95"
70,UC2OCCDJV3ufNcpE2RxwJ2Xw,Gaming,"Gaming, 95"
80,UC4cJPXuqa-qGcDZ1sVpWAmw,Education & Science,"Tech, 95"
90,UC4_QEb642mYkDlcKF3BFpvQ,Health & Fitness,"Sports Editorial Content, 95"
100,UC64peSPAWsJEXlVyNvqBNOA,Auto & Vehicles,"Auto & Vehicles, 95"
110,UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,"Health & Fitness, 95"
120,UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,"Kids Content, 98"
130,UC8zvZgpjWiUIjOKY2fz5a9Q,Food & Drinks,"Food & Drinks, 95"
140,UC9BFhq0gy7xWCIouULbQU7g,Food & Drinks,"Food & Drinks, 98"
150,UC9uKqe1WAbRn1jg8KDu1rDA,Gaming,"Gaming, 95"
160,UC9YTp5M6yYgSd6t0SeL2GQw,Gaming,"Gaming, 95"
170,UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,"Auto & Vehicles, 98"
180,UCAEK1ln4mv8LDGG6Y4qq3ow,Auto & Vehicles,"Auto & Vehicles, 95"
190,UCajMRdn4f4GU8ObmAzk6HJA,Lifestyle & Hobbies,"Lifestyle & Hobbies, 95"
200,UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,"Entertainment, 95"
210,UCaS2ZVJhyTCB3_fU88c9vGQ,Health & Fitness,"Health & Fitness, 95"
220,UCAy-tvx0OXhW9ZGhWC1mhDw,Lifestyle & Hobbies,"Lifestyle & Hobbies, 90"
230,UCbWsXXj2--GnsVTI0HlWCcw,Tech,"Tech, 98"
240,UCc3YWoJ6rqlAL7EEVCPIoXA,Tech,"Tech, 95"
250,UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,"Gaming, 95"
260,UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,"Food & Drinks, 95"
270,UCCugZuuJpIe12kFIxhFQLxQ,Entertainment,"Entertainment, 95"
280,UCdM8Pw7xscXoOO_RC1UsvbQ,"News, Politics, & Information","Entertainment, 80"
290,UCDnZvnYAnTPywqPlj1jwm_g,Kids Content,"Kids Content, 95"
300,UCdTkML-Lu3Ka74D3fiM0jeg,Food & Drinks,"Lifestyle & Hobbies, 90"
310,UCE2AMNC7H3shyUzPVwWZVLw,Gaming,"Gaming, 97"
320,UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,"Auto & Vehicles, 99"
