,channel_id,vertical,predicted_vertical
0,UC0m0VPPo84UHJ4m7rGl7RwQ,Auto & Vehicles,"Auto & Vehicles, 98"
10,UC1bXG2l9YmiyzlaXI0i0pqw,Kids Content,"Entertainment, 95"
20,UC4cJPXuqa-qGcDZ1sVpWAmw,Education & Science,"Tech, 95"
30,UC9YTp5M6yYgSd6t0SeL2GQw,Gaming,"Gaming, 95"
40,UCCugZuuJpIe12kFIxhFQLxQ,Entertainment,"Entertainment, 95"
50,UCdTkML-Lu3Ka74D3fiM0jeg,Food & Drinks,"Lifestyle & Hobbies, 85"
60,UCiaZSRydY8beFPD886fS0rw,Health & Fitness,"Lifestyle & Hobbies, 90"
70,UCOGhBBuD_FPCdS4OFew7DwA,"News, Politics, & Information","Entertainment, 90"
80,UCvWQOze3mZUVHgHUyCe4s-Q,Tech,"Tech, 95"
90,UCzwi1kwlNyJhhLVrHXmvVqA,Lifestyle & Hobbies,"Lifestyle & Hobbies, 95"
