channel_id,vertical,predicted_vertical
UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,Auto & Vehicles
UCAEK1ln4mv8LDGG6Y4qq3ow,Auto & Vehicles,Auto & Vehicles
UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,Auto & Vehicles
UCAABLU5uXLLIoozkiPP7k3g,Sports Editorial Content,Sports Editorial Content
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content
UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,Entertainment
UCCugZuuJpIe12kFIxhFQLxQ,Entertainment,Entertainment
UCFUbaRNh5f9Ku8yj6fXHEzw,Entertainment,Entertainment
UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,Entertainment
UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,Kids Content
UCDnZvnYAnTPywqPlj1jwm_g,Kids Content,Kids Content
UCfTn60uE6zz1ibgdphKiIzw,Kids Content,Kids Content
UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,Kids Content
UCajyfb5EUPd3f3deUk0dBEQ,Family,Family
UCFKpWyBpQfmAI33-uIZLoig,Family,Family
UCQBCt1uzQ_AiZujYFLJmOlA,Family,Family
UCOGhBBuD_FPCdS4OFew7DwA,"News, Politics, & Information",Entertainment
UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,Gaming
UCE2AMNC7H3shyUzPVwWZVLw,Gaming,Gaming
UCEptXIJlUdiUBosK_W5f1VQ,Gaming,Sports Editorial Content
UCh7nyWEkvGJHr0hcnnqp-xw,Gaming,Gaming
UChi_U5HDWUfudfl8KKfuWvg,Gaming,Gaming
UCiof9YSQHD2cawGJXZ8DyBA,Tech,Tech
UCJACTxNpdIbgwLQ10ib4A9A,Tech,Tech
UCjST8i81ILulZZvnO1xtfhQ,Tech,Tech
UCjvrWzo_puynmzvTiNQ1OJg,Tech,Tech
UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,Education & Science
UClJAYpfNwjEXuhP3ssj71Ug,Education & Science,Education & Science
UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,Education & Science
UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,Food & Drinks
UCdTkML-Lu3Ka74D3fiM0jeg,Food & Drinks,Travel & Events
UCNoGlpE_yc7yGmnaWRXopaA,Food & Drinks,Food & Drinks
UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,Food & Drinks
UC6C5rLe-voNUT2bqsvbkrYQ,Corporate Channels,Kids Content
UCa7tPSfhoLhWs87nCDl639g,Corporate Channels,Sports Editorial Content
UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,Family
UCHr_aw2Klj_YE6fTv4YypBQ,Lifestyle & Hobbies,Entertainment
UClBSYNoqdfJuWPWfcKPCk-A,Lifestyle & Hobbies,Lifestyle & Hobbies
UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,Family
UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,Health & Fitness
UCaS2ZVJhyTCB3_fU88c9vGQ,Health & Fitness,Health & Fitness
UCiaZSRydY8beFPD886fS0rw,Health & Fitness,Lifestyle & Hobbies
UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,Health & Fitness
