channel_id,vertical,predicted_vertical,match
UC0m0VPPo84UHJ4m7rGl7RwQ,Auto & Vehicles,Auto & Vehicles,True
UC64peSPAWsJEXlVyNvqBNOA,Auto & Vehicles,Auto & Vehicles,True
UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,Auto & Vehicles,True
UCAABLU5uXLLIoozkiPP7k3g,Sports Editorial Content,Sports Editorial Content,True
UC05MAvDqxBey5YuagowePCw,Entertainment,Entertainment,True
UC09zKqoJ08nQ0Jc1demxxiQ,Entertainment,Family,False
UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,Entertainment,True
UC1bXG2l9YmiyzlaXI0i0pqw,Kids Content,Entertainment,False
UC2E2tvdecC_C--97tZiN7PQ,Kids Content,Kids Content,True
UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,Kids Content,True
UC3phbbCvN8AqgDBxnKZkcbQ,Family,Family,True
UCajyfb5EUPd3f3deUk0dBEQ,Family,Family,True
UCdM8Pw7xscXoOO_RC1UsvbQ,"News, Politics, & Information",Entertainment,False
UC2OCCDJV3ufNcpE2RxwJ2Xw,Gaming,Gaming,True
UC9uKqe1WAbRn1jg8KDu1rDA,Gaming,Gaming,True
UC9YTp5M6yYgSd6t0SeL2GQw,Gaming,Gaming,True
UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,Gaming,True
UC1jOeuYb9OFGDhBAZPkAopA,Tech,Tech,True
UCbWsXXj2--GnsVTI0HlWCcw,Tech,Tech,True
UCc3YWoJ6rqlAL7EEVCPIoXA,Tech,Tech,True
UCiof9YSQHD2cawGJXZ8DyBA,Tech,Tech,True
UC4cJPXuqa-qGcDZ1sVpWAmw,Education & Science,Tech,False
UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,Education & Science,True
UC8zvZgpjWiUIjOKY2fz5a9Q,Food & Drinks,Food & Drinks,True
UC9BFhq0gy7xWCIouULbQU7g,Food & Drinks,Food & Drinks,True
UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,Food & Drinks,True
UC6C5rLe-voNUT2bqsvbkrYQ,Corporate Channels,Gaming,False
UCajMRdn4f4GU8ObmAzk6HJA,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCAy-tvx0OXhW9ZGhWC1mhDw,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCfbshD56lsI6cM-TjTVQ-3A,Lifestyle & Hobbies,Family,False
UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,Entertainment,False
UC01yfEkBiExZlVOAfD8mnhg,Health & Fitness,Lifestyle & Hobbies,False
UC4_QEb642mYkDlcKF3BFpvQ,Health & Fitness,Sports Editorial Content,False
UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,Health & Fitness,True
UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,Auto & Vehicles,True
UCAEK1ln4mv8LDGG6Y4qq3ow,Auto & Vehicles,Auto & Vehicles,True
UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,Auto & Vehicles,True
UCAABLU5uXLLIoozkiPP7k3g,Sports Editorial Content,Sports Editorial Content,True
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content,True
UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,Entertainment,True
UCCugZuuJpIe12kFIxhFQLxQ,Entertainment,Entertainment,True
UCFUbaRNh5f9Ku8yj6fXHEzw,Entertainment,Entertainment,True
