channel_id,vertical,predicted_vertical
UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,Auto & Vehicles
UCELGGcp87Rd9IyR9TAR2kXA,Auto & Vehicles,Auto & Vehicles
UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,Auto & Vehicles
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content
UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,Entertainment
UCpTjuGibTsSpSOO-MREk8Wg,Entertainment,Entertainment
UCRbIKMyRCDT-J47uJ26ehqw,Entertainment,Entertainment
UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,Entertainment
UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,Kids Content
UCJ3HrPbiyDvqgJD6pj4_BEQ,Kids Content,Kids Content
UCS777nyImh331GyGxKnVeag,Kids Content,Kids Content
UCQBCt1uzQ_AiZujYFLJmOlA,Family,Family
UCR5KWaN94EPt2tMcoHA9OQg,Family,Family
UCSWk237F09Emo2MxR3Q_1JA,Family,Entertainment
UCp2w6RCcZ2pgCgvNZCN4ciA,"News, Politics, & Information","News, Politics, & Information"
UChi_U5HDWUfudfl8KKfuWvg,Gaming,Gaming
UCHNXLlh1VWiPbgRRKOiLmcA,Gaming,Gaming
UCIvE0AhNMRKfk62GdsgZhoA,Gaming,Entertainment
UCLsw2U0uD6pHtI1H6DaMHlQ,Gaming,Gaming
UCRYnloqXpa_amxp_IUSRa-w,Gaming,Gaming
UCjvrWzo_puynmzvTiNQ1OJg,Tech,Tech
UCKI91MuLfEw8H9MUEnMirwQ,Tech,Gaming
UCKMO2LIpvjBbhNtssrCrhzQ,Tech,Tech
UCN17O9A0wKJVHZjewWDm8lA,Tech,Tech
UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,Lifestyle & Hobbies
UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,Education & Science
UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,Food & Drinks
UCqAISscklbbQS-Y3GHyE-sA,Food & Drinks,Lifestyle & Hobbies
UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,Food & Drinks
UCa7tPSfhoLhWs87nCDl639g,Corporate Channels,Corporate Channels
UCCf23ekQ5pwaF1U1kUtlwOQ,Corporate Channels,Entertainment
UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,Pets & Animals
UCon6JNfrvSKBeN0zSWvWDVg,Lifestyle & Hobbies,Entertainment
UCraZhrCr0fqudUIV5J9-1rQ,Lifestyle & Hobbies,Lifestyle & Hobbies
UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,Family
UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,Health & Fitness
UCKUlrPWnRiUTJnTTXMHAy_A,Health & Fitness,Lifestyle & Hobbies
UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,Lifestyle & Hobbies
