channel_id,vertical,predicted_vertical
UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,Auto & Vehicles
UCSKtK03rhl9irsdV3uFWiBg,Auto & Vehicles,Auto & Vehicles
UCtTbVsgCMdXQifG1IPW2iKQ,Auto & Vehicles,Auto & Vehicles
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content
UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,Gaming
UCWPU18q799MFtdRMLaJCh7Q,Entertainment,Entertainment
UCxmh9CHjpMmQGFHvZQt0GTQ,Entertainment,Entertainment
UCS777nyImh331GyGxKnVeag,Kids Content,Kids Content
UCUy8Q82gXG07N2js29d4JwQ,Kids Content,Entertainment
UCXyDNZg0oIwic0j7m_jOjqQ,Kids Content,Kids Content
UCSWk237F09Emo2MxR3Q_1JA,Family,Entertainment
UCu5MM6dgH9IgvBr8WDrn4Sg,Family,Lifestyle & Hobbies
UCpiXGZBVa5jGYc4FAx_gq2g,"News, Politics, & Information","News, Politics, & Information"
UCRYnloqXpa_amxp_IUSRa-w,Gaming,Gaming
UCw_wBbeBe5gsEbQPHCNw-eA,Gaming,Gaming
UCXaXECymzORzf06VzpD_jYg,Gaming,Gaming
UCypasri70U7xSQW0oGI4Vtg,Gaming,Gaming
UCN17O9A0wKJVHZjewWDm8lA,Tech,Tech
UCPrbArysdf6neOcQPaxzxFg,Tech,Tech
UCvWQOze3mZUVHgHUyCe4s-Q,Tech,Tech
UCYRkOO_tpXUtlrk4ojpZesA,Tech,Tech
UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,Education & Science
UCoc16w6cfFa8UKMwaMx1GWQ,Education & Science,Entertainment
UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,Food & Drinks
UCvGh4HT9ySBoURt0zSpC0Nw,Food & Drinks,Food & Drinks
UCVmUEHRt4HCm6KUeKMZcvBA,Food & Drinks,Food & Drinks
UCCf23ekQ5pwaF1U1kUtlwOQ,Corporate Channels,Entertainment
UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,Family
UCU6ZQno03ENPABHqA3kgsXg,Lifestyle & Hobbies,Family
UCxrL6s8Q-FVLVUUn4bWgU3w,Lifestyle & Hobbies,Lifestyle & Hobbies
UCzwi1kwlNyJhhLVrHXmvVqA,Lifestyle & Hobbies,Lifestyle & Hobbies
UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,Health & Fitness
UCnAXgBl1MVlGTDVVd_2uRHA,Health & Fitness,Lifestyle & Hobbies
UCUeKyW4iBIHW1AASTwQl1oA,Health & Fitness,Health & Fitness
