channel_id,vertical,predicted_vertical
UC0m0VPPo84UHJ4m7rGl7RwQ,Auto & Vehicles,Auto & Vehicles
UC64peSPAWsJEXlVyNvqBNOA,Auto & Vehicles,Auto & Vehicles
UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,Auto & Vehicles
UCAABLU5uXLLIoozkiPP7k3g,Sports Editorial Content,Sports Editorial Content
UC05MAvDqxBey5YuagowePCw,Entertainment,Entertainment
UC09zKqoJ08nQ0Jc1demxxiQ,Entertainment,Family
UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,Entertainment
UC1bXG2l9YmiyzlaXI0i0pqw,Kids Content,Entertainment
UC2E2tvdecC_C--97tZiN7PQ,Kids Content,Kids Content
UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,Kids Content
UC3phbbCvN8AqgDBxnKZkcbQ,Family,Family
UCajyfb5EUPd3f3deUk0dBEQ,Family,Family
UCdM8Pw7xscXoOO_RC1UsvbQ,"News, Politics, & Information",Entertainment
UC2OCCDJV3ufNcpE2RxwJ2Xw,Gaming,Gaming
UC9uKqe1WAbRn1jg8KDu1rDA,Gaming,Gaming
UC9YTp5M6yYgSd6t0SeL2GQw,Gaming,Gaming
UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,Gaming
UC1jOeuYb9OFGDhBAZPkAopA,Tech,Lifestyle & Hobbies
UCbWsXXj2--GnsVTI0HlWCcw,Tech,Tech
UCc3YWoJ6rqlAL7EEVCPIoXA,Tech,Tech
UCiof9YSQHD2cawGJXZ8DyBA,Tech,Tech
UC4cJPXuqa-qGcDZ1sVpWAmw,Education & Science,Tech
UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,Education & Science
UC8zvZgpjWiUIjOKY2fz5a9Q,Food & Drinks,Food & Drinks
UC9BFhq0gy7xWCIouULbQU7g,Food & Drinks,Food & Drinks
UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,Food & Drinks
UC6C5rLe-voNUT2bqsvbkrYQ,Corporate Channels,Gaming
UCajMRdn4f4GU8ObmAzk6HJA,Lifestyle & Hobbies,Lifestyle & Hobbies
UCAy-tvx0OXhW9ZGhWC1mhDw,Lifestyle & Hobbies,Lifestyle & Hobbies
UCfbshD56lsI6cM-TjTVQ-3A,Lifestyle & Hobbies,Family
UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,Entertainment
UC01yfEkBiExZlVOAfD8mnhg,Health & Fitness,Lifestyle & Hobbies
UC4_QEb642mYkDlcKF3BFpvQ,Health & Fitness,Sports Editorial Content
UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,Health & Fitness
