channel_id,vertical,predicted_vertical
UC0m0VPPo84UHJ4m7rGl7RwQ,Auto & Vehicles,Auto & Vehicles
UC64peSPAWsJEXlVyNvqBNOA,Auto & Vehicles,Auto & Vehicles
UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,Auto & Vehicles
UCAABLU5uXLLIoozkiPP7k3g,Sports Editorial Content,Sports Editorial Content
UC05MAvDqxBey5YuagowePCw,Entertainment,Entertainment
UC09zKqoJ08nQ0Jc1demxxiQ,Entertainment,Family
UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,Entertainment
UC1bXG2l9YmiyzlaXI0i0pqw,Kids Content,Entertainment
UC2E2tvdecC_C--97tZiN7PQ,Kids Content,Kids Content
UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,Kids Content
UC3phbbCvN8AqgDBxnKZkcbQ,Family,Family
UCajyfb5EUPd3f3deUk0dBEQ,Family,Family
UCdM8Pw7xscXoOO_RC1UsvbQ,"News, Politics, & Information",Entertainment
UC2OCCDJV3ufNcpE2RxwJ2Xw,Gaming,Gaming
UC9uKqe1WAbRn1jg8KDu1rDA,Gaming,Gaming
UC9YTp5M6yYgSd6t0SeL2GQw,Gaming,Gaming
UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,Gaming
UC1jOeuYb9OFGDhBAZPkAopA,Tech,Education & Science
UCbWsXXj2--GnsVTI0HlWCcw,Tech,Tech
UCc3YWoJ6rqlAL7EEVCPIoXA,Tech,Tech
UCiof9YSQHD2cawGJXZ8DyBA,Tech,Tech
UC4cJPXuqa-qGcDZ1sVpWAmw,Education & Science,Tech
UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,Education & Science
UC8zvZgpjWiUIjOKY2fz5a9Q,Food & Drinks,Food & Drinks
UC9BFhq0gy7xWCIouULbQU7g,Food & Drinks,Food & Drinks
UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,Food & Drinks
UC6C5rLe-voNUT2bqsvbkrYQ,Corporate Channels,Gaming
UCajMRdn4f4GU8ObmAzk6HJA,Lifestyle & Hobbies,Lifestyle & Hobbies
UCAy-tvx0OXhW9ZGhWC1mhDw,Lifestyle & Hobbies,Lifestyle & Hobbies
UCfbshD56lsI6cM-TjTVQ-3A,Lifestyle & Hobbies,Family
UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,Lifestyle & Hobbies
UC01yfEkBiExZlVOAfD8mnhg,Health & Fitness,Lifestyle & Hobbies
UC4_QEb642mYkDlcKF3BFpvQ,Health & Fitness,Sports Editorial Content
UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,Health & Fitness
UCA73lSpJ8j1ic0_aMtV8W1g,Auto & Vehicles,Auto & Vehicles
UCAEK1ln4mv8LDGG6Y4qq3ow,Auto & Vehicles,Auto & Vehicles
UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,Auto & Vehicles
UCAABLU5uXLLIoozkiPP7k3g,Sports Editorial Content,Sports Editorial Content
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content
UCAqOaCfGYXd90WMkpKlCpvw,Entertainment,Entertainment
UCCugZuuJpIe12kFIxhFQLxQ,Entertainment,Entertainment
UCFUbaRNh5f9Ku8yj6fXHEzw,Entertainment,Entertainment
UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,Entertainment
UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,Kids Content
UCDnZvnYAnTPywqPlj1jwm_g,Kids Content,Kids Content
UCfTn60uE6zz1ibgdphKiIzw,Kids Content,Kids Content
UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,Kids Content
UCajyfb5EUPd3f3deUk0dBEQ,Family,Family
UCFKpWyBpQfmAI33-uIZLoig,Family,Family
UCQBCt1uzQ_AiZujYFLJmOlA,Family,Family
UCOGhBBuD_FPCdS4OFew7DwA,"News, Politics, & Information",Entertainment
UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,Gaming
UCE2AMNC7H3shyUzPVwWZVLw,Gaming,Gaming
UCEptXIJlUdiUBosK_W5f1VQ,Gaming,Gaming
UCh7nyWEkvGJHr0hcnnqp-xw,Gaming,Gaming
UChi_U5HDWUfudfl8KKfuWvg,Gaming,Gaming
UCiof9YSQHD2cawGJXZ8DyBA,Tech,Tech
UCJACTxNpdIbgwLQ10ib4A9A,Tech,Tech
UCjST8i81ILulZZvnO1xtfhQ,Tech,Tech
UCjvrWzo_puynmzvTiNQ1OJg,Tech,Tech
UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,Education & Science
